unique_id|game_id|play_id|week|x_1|y_1|x_2|y_2|event|play_description|quarter|down|yards_to_go|possession_team|yardline_side|yardline_number|game_clock|absolute_yardline_number|pass_result|offense_play_result|play_result
2018090912_1216|2018090912|1216|1|56.89|29.76|82.35|51.9|pass_outcome_incomplete|(8:19) (Shotgun) M.Trubisky pass incomplete deep left to D.Sims (J.Whitehead) [K.Clark].|2|1|20|CHI|CHI|47|08:19:00|57|I|0|0
2018090912_1259|2018090912|1259|1|63.09|29.66|73.44|2.87|tackle|(7:36) (Shotgun) M.Trubisky pass short right to D.Sims to GB 37 for 9 yards (B.Martinez).|2|3|13|CHI|GB|46|07:36:00|64|C|9|9
2018090912_1300|2018090912|1300|1|73.01|23.66|63.55|21.22|qb_sack|(6:49) (Shotgun) M.Trubisky sacked at GB 43 for -6 yards. FUMBLES, and recovers at GB 46. M.Trubisky to GB 46 for no gain (N.Perry).|2|4|4|CHI|GB|37|06:49:00|73|S|-9|-9
2018090912_1493|2018090912|1493|1|30.58|26.49|29.2|9.6|tackle|(3:00) (Shotgun) M.Trubisky pass short right to T.Gabriel to CHI 19 for -2 yards (K.King).|2|1|10|CHI|CHI|21|03:00:00|31|C|-2|-2
2018090912_1555|2018090912|1555|1|35.12|24|59.47|29.61|pass_outcome_incomplete|(2:00) (Shotgun) M.Trubisky pass incomplete deep middle to T.Burton.|2|3|5|CHI|CHI|26|02:00:00|36|I|0|0
2018090912_1837|2018090912|1837|1|33.75|29.78|42.78|54.37|out_of_bounds|(15:00) (Shotgun) M.Trubisky pass short left to J.Howard pushed ob at CHI 32 for 7 yards (H.Clinton-Dix).|3|1|10|CHI|CHI|25|15:00:00|35|C|7|7
2018090912_1882|2018090912|1882|1|50.76|29.7|54.44|0.34|tackle|(13:47) (Shotgun) M.Trubisky pass short right to A.Miller to CHI 45 for 3 yards (J.Alexander).|3|1|10|CHI|CHI|42|13:47:00|52|C|3|3
2018090912_1906|2018090912|1906|1|53.79|23.67|70.64|14.02|pass_outcome_incomplete|(13:07) (Shotgun) M.Trubisky pass incomplete short middle to A.Robinson II (B.Martinez) [M.Wilkerson]. PENALTY on GB-M.Wilkerson, Roughing the Passer, 15 yards, enforced at CHI 45 - No Play.|3|2|7|CHI|CHI|45|NA|NA|I|0|15
2018090912_1939|2018090912|1939|1|69.86|23.66|70.89|42.59|tackle|(13:02) (Shotgun) M.Trubisky pass short left to T.Gabriel to GB 39 for 1 yard (R.Gilbert, T.Williams).|3|1|10|CHI|GB|40|13:02:00|70|C|1|1
2018090912_1963|2018090912|1963|1|69.99|29.46|73.81|22.57|pass_outcome_incomplete|(12:32) (No Huddle, Shotgun) M.Trubisky pass incomplete short middle to T.Burton.|3|2|9|CHI|GB|39|12:32:00|71|I|0|0
